date,name,amount,level
"2024-02-02 00:13:22.153793",Alakazhan,0,537
"2024-02-01 13:41:43.769085",Alakazhan,0,537
"2024-02-03 00:11:49.567652",Alakazhan,0,537
"2024-02-04 00:11:53.395347",Alakazhan,0,537
"2024-02-05 00:11:50.337575",Alakazhan,0,537
"2024-02-06 00:11:49.669386",Alakazhan,0,537
"2024-02-07 22:40:45.849389",Alakazhan,0,537
"2024-02-08 00:11:51.124254",Alakazhan,0,537
"2024-02-09 21:44:57.333668",Alakazhan,0,537
"2024-02-10 00:11:59.503258",Alakazhan,0,537
"2024-02-11 00:11:58.967391",Alakazhan,0,537
"2024-02-12 00:11:59.607916",Alakazhan,0,537
"2024-02-14 21:52:06.077563",Alakazhan,0,537
"2024-02-15 10:30:08.470664",Alakazhan,0,537
"2024-02-13 10:52:12.757279",Alakazhan,0,537
"2024-02-16 00:12:07.015878",Alakazhan,0,537
"2024-02-17 00:12:04.326171",Alakazhan,0,537
"2024-02-18 00:12:20.311550",Alakazhan,0,537
"2024-02-20 14:28:01.347262",Alakazhan,0,537
"2024-02-19 14:49:54.596701",Alakazhan,0,537
"2024-02-21 00:11:02.364030",Alakazhan,0,537
"2024-02-22 00:11:02.763827",Alakazhan,0,537
"2024-02-23 00:11:01.855623",Alakazhan,0,537
"2024-02-24 00:11:02.460062",Alakazhan,0,537
"2024-02-25 00:11:03.563916",Alakazhan,0,537
"2024-02-26 00:11:03.565979",Alakazhan,0,537
"2024-02-27 00:11:03.565087",Alakazhan,0,537
"2024-02-28 00:11:00.763563",Alakazhan,0,537
"2024-02-29 00:11:03.070770",Alakazhan,0,537
"2024-03-01 00:11:03.665098",Alakazhan,0,537
"2024-03-02 00:11:02.639098",Alakazhan,0,537
"2024-03-03 00:11:03.967071",Alakazhan,0,537
"2024-03-04 00:11:02.966527",Alakazhan,0,537
"2024-03-05 00:11:02.947953",Alakazhan,0,537
"2024-03-06 00:11:02.454538",Alakazhan,0,537
"2024-03-07 00:11:03.964796",Alakazhan,0,537
"2024-03-08 00:11:04.966208",Alakazhan,0,537
"2024-03-10 20:00:53.692410",Alakazhan,0,537
"2024-03-09 20:20:16.592846",Alakazhan,0,537
"2024-03-11 21:13:16.689832",Alakazhan,0,537
"2024-02-02 00:10:48.145078",Angie,0,951
"2024-02-01 13:40:30.502976",Angie,0,951
"2024-02-03 00:10:38.834066",Angie,173969214,955
"2024-02-04 00:10:41.255669",Angie,52638202,956
"2024-02-05 00:10:39.687570",Angie,51255901,957
"2024-02-06 00:10:38.643332",Angie,0,957
"2024-02-07 22:39:33.998226",Angie,0,957
"2024-02-08 00:10:39.539277",Angie,0,957
"2024-02-09 21:43:42.127582",Angie,60087137,958
"2024-02-10 00:10:43.752259",Angie,0,958
"2024-02-11 00:10:43.078502",Angie,0,958
"2024-02-12 00:10:43.238942",Angie,0,958
"2024-02-14 21:50:44.080417",Angie,0,958
"2024-02-15 10:28:44.265638",Angie,118300,958
"2024-02-13 10:50:49.107278",Angie,0,958
"2024-02-16 00:10:45.275160",Angie,0,958
"2024-02-17 00:10:44.633214",Angie,0,958
"2024-02-18 00:10:46.742231",Angie,0,958
"2024-02-20 10:06:43.900259",Angie,0,958
"2024-02-19 14:48:23.547872",Angie,0,958
"2024-02-21 00:10:11.069781",Angie,0,958
"2024-02-22 00:10:12.371373",Angie,0,958
"2024-02-23 00:10:10.771323",Angie,0,958
"2024-02-24 00:10:11.172200",Angie,-64568128,957
"2024-02-25 00:10:11.370693",Angie,0,957
"2024-02-26 00:10:11.371242",Angie,49955676,958
"2024-02-27 00:10:11.361198",Angie,42857897,959
"2024-02-28 00:10:10.369363",Angie,0,959
"2024-02-29 00:10:11.974790",Angie,0,959
"2024-03-01 00:10:10.948320",Angie,28768136,960
"2024-03-02 00:10:10.670103",Angie,28291788,960
"2024-03-03 00:10:12.271341",Angie,33820007,961
"2024-03-04 00:10:10.668870",Angie,0,961
"2024-03-05 00:10:11.171225",Angie,38214808,962
"2024-03-06 00:10:10.372922",Angie,0,962
"2024-03-07 00:10:11.172630",Angie,0,962
"2024-03-08 00:10:12.673961",Angie,0,962
"2024-03-10 20:00:01.685625",Angie,530094,962
